Chunk Size,Embedding Time(sec),Embedding Token,VectorDB Size(MB),LLM Response Time(sec),LLM Response Token,BERT F1,F1,Cosine,Contain Count
300,50.87,1451770,93.29,198.68,101369,0.812334734,0.276408151,0.74965936,92
400,35.56,1403953,70.79,213.2,133225,0.810235514,0.282961277,0.74487936,88
500,41.71,1376690,68.9,218.82,163231,0.808811032,0.273545255,0.73302984,85
600,36.55,1360691,58.79,210.44,196941,0.814497643,0.288195364,0.74534476,83
700,41.68,1350650,55.06,204.01,226733,0.806225787,0.273009918,0.73804396,81
800,39.42,1341228,46.22,205.65,256859,0.814386101,0.295938946,0.7540039,84
900,36.68,1333543,45.81,212.21,288859,0.816771653,0.299791972,0.755962,83
1000,36.52,1329059,44.2,211.04,311835,0.812940336,0.283167327,0.74406266,82
1100,34.23,1325259,42.18,225.13,342022,0.815407764,0.297440342,0.74450356,84
